gene	log2FC	Stat
MUC16	-1.95234526903594	4.05E-13
IGFL1	-2.18500397963766	5.60E-12
CYP4F2	1.66443048435364	1.25E-09
IL22RA2	-1.50310207681866	8.34E-08
KRT28	4.62341895200165	8.07E-08
KRT25	7.49524918992428	1.52E-07
TMC5	0.975447746325206	7.39E-07
AL390719.1	-1.87690257704024	9.66E-06
AL133415.1	-0.933868581251986	1.91E-05
NSF	3.15942732300189	2.31E-05
KRTAP11-1	5.23180417887873	3.33E-05
KITLG	0.734428322884863	4.75E-05
SLC27A6	-1.40375299025487	5.15E-05
ASPHD2	-0.8264466592237	4.72E-05
PEX5	-1.56993473403919	5.33E-05
MYO7B	1.11757751368488	4.75E-05
IPO4	1.81749006018008	4.33E-05
ZMYND15	-0.788393484762877	5.91E-05
NOMO3	-1.82302332597573	6.81E-05
FAM13C	0.887839130138859	6.60E-05
GAB2	0.728590839387258	0.000107843834736838
IL17REL	-2.24487220717205	0.00010165989799157
IGLV3-25	-1.67019728944602	0.000105783775974114
VSTM2L	-1.74592131094555	0.000130483536160666
TNFRSF8	-1.67005280102252	0.000173744052807298
CTRL	-0.876838738321773	0.000173058812597558
VWF	0.76729627362614	0.000228100060605364
LGI2	-1.81873981713328	0.000220242202157205
NEURL3	-1.65204533547699	0.000229008674801629
IGLV1-44	-2.05770762526521	0.000259018382494414
CLEC5A	-0.677332139006866	0.000266146930603776
HAS3	-1.64616521811606	0.000291973026172157
PXDN	0.884405639444591	0.000322734129524669
CD207	-1.33796324674267	0.000336728257011609
EEPD1	0.873580496580739	0.000367780323278766
HSD11B1	0.792329605695319	0.000422364738759322
SAA2	2.44209562897025	0.000431000398778855
CXCL11	-1.38157494374358	0.000419043572529662
TNFRSF12A	-1.29122077866228	0.000465002038409465
WNT10A	-0.838298512102881	0.000515555403358271
PLA2G4D	0.740354100280564	0.000505348439047771
ITPK1	1.33755636094398	0.000542981938373698
KRT35	5.99288998104739	0.000543690714444899
PDE7B	1.30491505931085	0.000564068477196387
KRT27	5.9284592191179	0.000599480531072953
EFEMP1	0.772478785643814	0.000635207096483102
ECSCR	3.23947517428961	0.00066236686335724
TRDC	-1.24378314691457	0.000677777129507508
CYTL1	1.15927718850971	0.000718667546835782
METTL7A	0.795829821233849	0.000703749037011003
IGLV1-36	-2.49913345285001	0.000713517474179393
EPHX1	0.648249829078892	0.000766570674435667
FETUB	1.31399864578189	0.000975728292169252
PLA2G3	-0.669796605108903	0.000989358079246171
PLEK2	-0.598931111638039	0.000946830760677692
MOCS1	0.735276901170208	0.00101890749739843
KRT85	6.36957344665248	0.000975666911083842
DBH-AS1	-1.88617536701915	0.00104358650392987
DOC2B	-1.88642283621161	0.00100628745350725
AC142391.1	3.16850341316853	0.000946570830269513
DNASE1L3	-0.877299261453507	0.0010911036370614
IFI27L1	-3.09107125398608	0.00115552183654302
ENPP1	-0.94976434713015	0.00112335093388946
IGLV2-23	-1.65349196010526	0.00112653925820711
AC083841.2	-1.12263163312278	0.00117077268293926
AL136295.4	1.47580598200604	0.00116855666372245
MPP2	1.06806731265133	0.00118896492428551
LINC00944	-2.52093113027868	0.00126853597263725
TEC	0.599163587814672	0.00136563997527466
IDO2	-0.955203368565609	0.00144052294705966
ISL1	-1.86071190675245	0.00164511435201426
GAMT	0.710165341755915	0.0016152081669165
KRT71	3.12965386966307	0.00163951500349636
CYP3A4	1.32722863288498	0.00167867359170558
RPTN	0.843257652678578	0.00157448294682604
Z98257.1	-2.51910672480196	0.00165194195153753
HLA-DRB6	-1.04220165366984	0.00172141240131899
AC116353.6	2.11490694493984	0.00170376002998558
